IP地址,端口,回源端口,数据中心,地区,城市,TCP延迟(ms),速度(kB/s)
8.219.197.111,443,443,SG,Singapore,Singapore,257 ms,7897 kB/s
146.70.175.121,443,443,NL,Amsterdam,Amsterdam,152 ms,13926 kB/s
8.219.52.156,443,443,SG,Singapore,Singapore,253 ms,3109 kB/s
23.90.144.170,443,443,DE,Frankfurt,Frankfurt,155 ms,13312 kB/s
47.254.65.110,443,443,US,San Jose,San Jose,35 ms,299 kB/s
8.219.174.213,443,443,SG,Singapore,Singapore,254 ms,6343 kB/s
8.222.223.34,443,443,SG,Singapore,Singapore,356 ms,7301 kB/s
146.70.175.110,443,443,NL,Amsterdam,Amsterdam,152 ms,12902 kB/s
8.219.78.1,443,443,SG,Singapore,Singapore,255 ms,6161 kB/s
8.210.107.246,443,443,HK,Hong Kong,Hong Kong,153 ms,11878 kB/s
143.47.250.121,443,443,DE,Frankfurt,Frankfurt,153 ms,14028 kB/s
47.242.79.71,443,443,HK,Hong Kong,Hong Kong,154 ms,11059 kB/s
8.218.52.115,443,443,HK,Hong Kong,Hong Kong,153 ms,11161 kB/s
8.222.197.251,443,443,SG,Singapore,Singapore,253 ms,5632 kB/s
8.217.49.234,443,443,HK,,,156 ms,9309 kB/s
8.219.198.139,443,443,SG,Singapore,Singapore,254 ms,5739 kB/s
8.219.13.143,443,443,SG,Singapore,Singapore,254 ms,7224 kB/s
47.254.66.75,443,443,US,San Jose,San Jose,70 ms,48025 kB/s
129.146.169.119,443,443,US,Los Angeles,Los Angeles,71 ms,48332 kB/s
146.70.175.107,443,443,NL,Amsterdam,Amsterdam,150 ms,14336 kB/s
8.219.73.21,443,443,SG,Singapore,Singapore,254 ms,6767 kB/s
8.210.21.65,443,443,HK,Hong Kong,Hong Kong,149 ms,981 kB/s
47.241.209.61,443,443,SG,,,254 ms,220 kB/s
8.210.119.11,443,443,HK,Hong Kong,Hong Kong,154 ms,12697 kB/s
8.218.211.17,443,443,HK,Hong Kong,Hong Kong,148 ms,12697 kB/s
146.70.175.99,443,443,NL,Amsterdam,Amsterdam,153 ms,10240 kB/s
146.70.175.165,443,443,NL,Amsterdam,Amsterdam,150 ms,13619 kB/s
8.218.48.92,443,443,HK,Hong Kong,Hong Kong,153 ms,12185 kB/s
8.219.103.126,443,443,SG,Singapore,Singapore,255 ms,6311 kB/s
8.218.18.132,443,443,HK,Hong Kong,Hong Kong,161 ms,11571 kB/s
8.219.145.245,443,443,SG,Singapore,Singapore,254 ms,6203 kB/s
8.219.100.155,443,443,SG,Singapore,Singapore,254 ms,5816 kB/s
146.70.175.190,443,443,NL,Amsterdam,Amsterdam,150 ms,13209 kB/s
158.180.84.48,443,443,KR,Seoul,Seoul,143 ms,12492 kB/s
8.218.65.237,443,443,HK,Hong Kong,Hong Kong,153 ms,674 kB/s
8.218.22.210,443,443,HK,Hong Kong,Hong Kong,152 ms,11366 kB/s
47.88.15.127,443,443,US,San Jose,San Jose,38 ms,17715 kB/s
144.21.39.185,443,443,DE,Frankfurt,Frankfurt,154 ms,14950 kB/s
47.242.234.127,443,443,HK,Hong Kong,Hong Kong,156 ms,13312 kB/s
8.219.193.22,443,443,SG,Singapore,Singapore,255 ms,8504 kB/s
8.219.190.62,443,443,SG,Singapore,Singapore,254 ms,6831 kB/s
8.222.226.15,443,443,SG,Singapore,Singapore,256 ms,7983 kB/s
129.151.152.254,443,443,AE,Amsterdam,Amsterdam,261 ms,2729 kB/s
